Exp_Mass,Exp_Intensity
1417.610063,5330
1419.31536,4441
1419.469554,5286
1421.749731,10659
1421.749731,7083
1421.778221,6697
1422.25563,6948
1423.54716,5268
1425.313808,5379
1425.530115,3209
1425.756341,8492
1427.499105,3824
1427.556995,5856
1428.421053,7804
1428.438966,5211
1428.755005,7296
1429.132642,5033
1429.253483,5117
1429.645746,3228
1430.422729,7637
1430.76117,13356
1432.102267,3821
1432.20374,4192
1432.771325,7455
1432.848321,9363
1433.018631,7678
1433.398235,4548
1433.668202,6100
1433.761704,14934
1433.77965,12318
1434.093586,10178
1434.255447,8815
1434.312459,11874
1434.403244,8729
1434.425782,9849
1434.650712,4623
1435.130516,12415
1435.27498,5827
1435.585519,15203
1436.200169,8637
1436.743076,4769
1436.85549,6919
1436.924716,8425
1437.260652,8622
1437.313416,13591
1437.492698,10990
1437.564169,7538
1437.582487,8069
1437.677628,21346
1437.764608,34074
1437.972289,9431
1438.038635,19659
1438.363729,6312
1438.534805,12429
1438.657626,5494
1438.859069,10837
1439.559028,6808
1439.749407,8323
1440.586096,14020
1440.676336,9223
1441.31537,16511
1441.403776,14080
1441.767838,17628
1443.435863,7123
1443.67745,11710
1444.496014,8006
1444.76497,11963
1445.267539,3884
1446.763551,16231
1446.964833,3338
1448.762098,8340
1449.112863,6137
1449.262744,4073
1449.799382,17690
1450.326505,3057
1451.730018,9157
1451.787628,3300
1452.017458,8178
1452.268208,8318
1452.769278,12011
1454.377043,3895
1454.408495,3463
1454.785634,7858
1455.274292,4430
1455.570082,4691
1455.592568,7085
1456.127845,4287
1456.323313,4503
1456.41039,5172
1456.774665,11035
1456.891048,4624
1457.046491,4787
1457.274863,11107
1458.412082,7343
1458.503785,5587
1458.539749,3528
1458.774376,19294
1459.140028,10563
1459.260256,4042
1459.280564,4901
1460.047509,3687
1460.319969,17617
1460.59288,8924
1461.406296,10047
1461.502505,10534
1461.684079,8008
1461.774757,9928
1462.166046,5430
1462.536822,7277
1463.036813,11869
1463.234555,4744
1463.317238,5970
1463.50362,5528
1464.378181,9925
1464.57621,11016
1464.777809,25747
1465.109963,4890
1465.68233,5613
1465.963072,3727
1466.761323,4627
1467.179849,6532
1467.516361,3397
1468.767996,4568
1468.785283,4435
1469.3818,3461
1469.742862,8896
1469.98211,4690
1470.278387,4671
1471.108317,3642
1472.807427,6995
1475.762288,2911
1476.789827,6723
1476.813871,40799
1477.275911,3492
1477.775416,7752
1478.578085,5512
1479.11786,5092
1479.142901,6079
1479.276308,3903
1479.327083,6186
1479.449369,7237
1479.675863,6113
1480.671894,15963
1480.79686,3817
1481.121762,3895
1481.17719,3265
1481.28479,4917
1481.784914,10727
1482.563872,5013
1483.290698,5379
1483.36198,3438
1484.191317,7147
1484.626452,3751
1484.788623,8475
1484.983624,7402
1485.490893,5916
1486.295795,5180
1486.385617,4968
1486.48325,3936
1486.691052,5151
1486.989105,6642
1487.383885,4999
1487.630656,5719
1487.802374,5090
1487.958559,9567
1489.390278,5517
1489.493518,7436
1489.776697,4636
1489.894196,6244
1490.588283,9940
1490.971752,4404
1492.19381,4439
1493.835715,17487
1494.000566,5056
1494.282282,3775
1494.466921,4105
1494.784403,8675
1495.9646,16811
1496.388924,7303
1498.311524,7288
1498.681969,154234
1500.795261,3821
1500.809255,3262
1501.286458,3385
1501.306581,3989
1502.196449,4108
1502.798262,11176
1503.299931,8151
1505.158247,4731
1506.290763,4192
1506.800038,9823
1507.503102,5644
1508.130503,3219
1508.413023,3180
1508.598178,3508
1508.802206,13661
1509.133466,3548
1509.179838,3791
1510.199091,7308
1510.393284,4284
1511.299416,3770
1511.598567,5836
1513.201579,9505
1513.304444,5809
1513.403965,3811
1513.477224,4546
